C1,C1S,C2,C2S,GI,DP,LOC,EVENT,ZONE
SRB,77,TUR,76,8,2022.11.14,"City, Arena: Belgrade (SRB), Aleksandar Nikolic Hall",FIBA World Cup 2023 Qualifier Europe,Europe
TUR,74,LAT,83,9,2023.02.24,"City, Arena: Bursa (TUR), Tofas Nilüfer Spor Salonu",FIBA World Cup 2023 Qualifier Europe,Europe
BEL,54,TUR,82,10,2023.02.27,"City, Arena: Mons (BEL), Mons Arena",FIBA World Cup 2023 Qualifier Europe,Europe
GEO,88,UKR,83,1,2021.11.26,"City, Arena: Tbilisi (GEO), Tbilisi Sports Palace",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,78,MKD,61,2,2021.11.29,"City, Arena: Kyiv (UKR), Palace of Sports",FIBA World Cup 2023 Qualifier Europe,Europe
ESP,88,UKR,74,3,2022.02.24,"City, Arena: Córdoba (ESP), Palacio Municipal de Deportes Vista Alegre",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,79,GEO,66,4,2022.07.01,"City, Arena: Riga (LAT), Arena Riga",FIBA World Cup 2023 Qualifier Europe,Europe
MKD,68,UKR,73,5,2022.07.04,"City, Arena: Skopje (MKD), Sports Centre Boris Trajkovski",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,76,ESP,77,6,2022.07.07,"City, Arena: Riga (LAT), Arena Riga",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,89,ITA,97,7,2022.08.24,"City, Arena: Riga (LAT), Arena Riga",FIBA World Cup 2023 Qualifier Europe,Europe
ISL,91,UKR,88,8,2022.08.27,"City, Arena: Hafnarfjordur (ISL), Ithrottamidstod Asvellir",FIBA World Cup 2023 Qualifier Europe,Europe
NED,77,UKR,96,9,2022.11.11,"City, Arena: Almere Stad (NED), Topsportcentrum",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,79,ISL,72,10,2022.11.14,"City, Arena: Riga (LAT), Arena Riga",FIBA World Cup 2023 Qualifier Europe,Europe
ITA,85,UKR,75,11,2023.02.23,"City, Arena: Livorno (ITA), Palazzetto Amedeo Modigliani Forum",FIBA World Cup 2023 Qualifier Europe,Europe
UKR,72,NED,56,12,2023.02.26,"City, Arena: Riga (LAT), Arena Riga",FIBA World Cup 2023 Qualifier Europe,Europe
