C1,C1S,C2,C2S,GI,DP,LOC,EVENT
SRB,90,PUR,47,4,2019.09.06,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
ESP,81,SRB,69,5,2019.09.08,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
ARG,97,SRB,87,6,2019.09.10,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
SRB,90,CZE,81,8,2019.09.14,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
ESP,101,TUN,62,1,2019.08.31,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
TUN,79,IRI,67,2,2019.09.02,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
PUR,67,TUN,64,3,2019.09.04,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
TUN,86,PHI,67,4,2019.09.06,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
TUN,86,ANG,84,5,2019.09.08,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
TUR,86,JPN,67,1,2019.09.01,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
TUR,76,CZE,91,3,2019.09.05,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
TUR,79,MNE,74,4,2019.09.07,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
TUR,101,NZL,102,5,2019.09.09,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
CZE,67,USA,88,1,2019.09.01,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
USA,93,TUR,92,2,2019.09.03,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
USA,98,JPN,45,3,2019.09.05,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
USA,69,GRE,53,4,2019.09.07,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
USA,89,BRA,73,5,2019.09.09,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
USA,79,FRA,89,6,2019.09.11,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
SRB,94,USA,89,7,2019.09.12,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
USA,87,POL,74,8,2019.09.14,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
POL,80,VEN,69,1,2019.08.31,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
VEN,87,CIV,71,2,2019.09.02,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
VEN,72,CHN,59,3,2019.09.04,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
ARG,87,VEN,67,4,2019.09.06,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
VEN,60,RUS,69,5,2019.09.08,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
