C1,C1S,C2,C2S,GI,DP,LOC,EVENT
CAN,92,AUS,108,1,2019.09.01,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
CIV,55,CHN,70,1,2019.08.31,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
BRA,71,CZE,93,4,2019.09.07,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
AUS,82,CZE,70,6,2019.09.11,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
AUS,82,DOM,76,4,2019.09.07,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
ESP,95,AUS,88,7,2019.09.13,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
ARG,75,ESP,95,8,2019.09.15,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
DOM,56,FRA,90,3,2019.09.05,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
FRA,98,AUS,100,5,2019.09.09,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
ARG,80,FRA,66,7,2019.09.13,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
FRA,67,AUS,59,8,2019.09.15,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
FRA,78,GER,74,1,2019.09.01,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
GER,68,DOM,70,2,2019.09.03,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
GER,82,CAN,76,5,2019.09.09,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
BRA,79,GRE,78,2,2019.09.03,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
CZE,77,GRE,84,5,2019.09.09,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
ESP,73,IRI,65,3,2019.09.04,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
ANG,62,IRI,71,4,2019.09.06,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
ITA,92,ANG,61,2,2019.09.02,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
ESP,67,ITA,60,4,2019.09.06,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
DOM,80,JOR,76,1,2019.09.01,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
JOR,64,FRA,103,2,2019.09.03,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
GER,96,JOR,62,3,2019.09.05,"City, Arena: Shenzhen (CHN), Shenzhen Bay Sports Center",FIBA World Cup 2019
CAN,126,JOR,71,4,2019.09.07,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
JPN,76,CZE,89,2,2019.09.03,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
ARG,95,KOR,69,1,2019.08.31,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
CHN,77,KOR,73,4,2019.09.06,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
CIV,71,KOR,80,5,2019.09.08,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
LTU,92,CAN,69,2,2019.09.03,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
LTU,82,AUS,87,3,2019.09.05,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
FRA,78,LTU,75,4,2019.09.07,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
DOM,55,LTU,74,5,2019.09.09,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
GRE,85,MNE,60,1,2019.09.01,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
BRA,84,MNE,73,3,2019.09.05,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
JPN,65,MNE,80,5,2019.09.09,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
NGR,81,ARG,94,2,2019.09.02,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
KOR,66,NGR,108,3,2019.09.04,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
NGR,83,CIV,66,4,2019.09.06,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
CHN,73,NGR,86,5,2019.09.08,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
NZL,94,BRA,102,1,2019.09.01,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
MNE,83,NZL,93,2,2019.09.03,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
GRE,103,NZL,97,3,2019.09.05,"City, Arena: Nanjing (CHN), Gymnasium of Youth Olympic Games Sport Park",FIBA World Cup 2019
NZL,111,JPN,81,4,2019.09.07,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
PHI,62,ITA,108,1,2019.08.31,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
ANG,84,PHI,81,3,2019.09.04,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
IRI,95,PHI,75,5,2019.09.08,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
CHN,76,POL,79,2,2019.09.02,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
CIV,63,POL,80,3,2019.09.04,"City, Arena: Beijing (CHN), Wukesong Sport Arena",FIBA World Cup 2019
POL,65,ARG,91,5,2019.09.08,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
ESP,90,POL,78,6,2019.09.10,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
POL,84,CZE,94,7,2019.09.12,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
IRI,81,PUR,83,1,2019.08.31,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
PUR,63,ESP,73,2,2019.09.02,"City, Arena: Guangzhou (CHN), Guangzhou Gymnasium",FIBA World Cup 2019
PUR,89,ITA,94,5,2019.09.08,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
RUS,82,NGR,77,1,2019.08.31,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
KOR,73,RUS,87,2,2019.09.02,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
RUS,61,ARG,69,3,2019.09.04,"City, Arena: Wuhan (CHN), Wuhan Sports Centre",FIBA World Cup 2019
POL,79,RUS,74,4,2019.09.06,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
SEN,47,LTU,101,1,2019.09.01,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
AUS,81,SEN,68,2,2019.09.03,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
CAN,82,SEN,60,3,2019.09.05,"City, Arena: Dongguan (CHN), Dongguan Basketball Center",FIBA World Cup 2019
GER,89,SEN,78,4,2019.09.07,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
JOR,79,SEN,77,5,2019.09.09,"City, Arena: Shanghai (CHN), Shanghai Oriental Sports Center",FIBA World Cup 2019
ANG,59,SRB,105,1,2019.08.31,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
SRB,126,PHI,67,2,2019.09.02,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
ITA,77,SRB,92,3,2019.09.04,"City, Arena: Foshan (CHN), Foshan International Sports & Cultural Arena",FIBA World Cup 2019
